,Title,Type,Director,Actors,Release,Genre,Runtime,Language,Country,Rating,IMDb,RottenTomatoes,Metacritic,Platform
5550,Cedric the Entertainer: Live from the Ville,Movie,Troy Miller,"['Cedric the Entertainer', 'Tennessee State University Marching Band']",16 Sep 2016,Comedy,60,English,United States,,6.1,,,Netflix
5551,Louis C.K.: Hilarious,Movie,Louis C.K.,Louis C.K.,26 Jan 2010,Comedy,82,English,United States,Not Rated,8.4,,,Netflix
5552,The White Helmets,Movie,Orlando von Einsiedel,"['Tia Alkerdi', 'Khalid Farah', 'Mohammed Farah']",16 Sep 2016,"['Documentary', 'Short', 'War']",41,"['Arabic', 'English']",United Kingdom,TV-14,7.5,100.0,,Netflix
5553,Sample This,Movie,Dan Forrer,"['Gene Simmons', 'Questlove', 'Roosevelt Grier']",13 Sep 2013,"['Documentary', 'Music']",85,English,United States,Not Rated,6.5,93.0,64.0,Netflix
5554,Extremis,Movie,Dan Krauss,"['Monica Bhargava', 'Jessica Zitter']",16 Sep 2016,"['Documentary', 'Short']",24,English,United States,TV-PG,7.3,,,Netflix
5555,Jandino: Whatever it Takes,Movie,,"['Jandino Asporaat', 'Giorgio Costa', 'Lorenzo Elstak']",09 Sep 2016,Comedy,95,"['English', 'Dutch']",Netherlands,,4.6,,,Netflix
5556,Chef's Table: France,TV Show,,"['Alexandre Couillon', 'Alain Passard']",02 Sep 2016,Documentary,1,,,TV-14,8.3,,,Netflix
5557,Kulipari: An Army of Frogs,TV Show,,"['Charlie Adler', 'Lacey Chabert', 'Keith David']",02 Sep 2016,"['Animation', 'Action', 'Fantasy']",1,English,United States,TV-Y7,7.0,,,Netflix
5558,Conspiracy,Movie,Frank Pierson,"['Kenneth Branagh', 'Clare Bullus', 'Stanley Tucci', 'Simon Markey']",19 May 2001,"['Biography', 'Drama', 'History', 'War']",96,"['English', 'German']","['USA', 'UK']",R,7.7,100.0,,Netflix
5559,Dead Set,TV Show,,"[""Paul 'Bubble' Ferguson"", 'Liz May Brice', 'Brian Belo']",27 Oct 2008,"['Comedy', 'Drama', 'Horror']",1,English,United Kingdom,,7.6,,,Netflix
5560,Forensic Files,TV Show,,"['Peter Thomas', 'Tom Bevel', 'Skip Palenik']",21 Apr 1996,"['Documentary', 'Crime']",14,English,United States,TV-14,8.8,,,Netflix
5561,The Fierce Wife,TV Show,,"['Sonia Sui', 'Sheng-hao Wen', 'Amanda Chu']",05 Nov 2010,Drama,1,Mandarin,Taiwan,,6.8,,,Netflix
5562,Witches: A Century of Murder,TV Show,,Suzannah Lipscomb,2015,"['British TV Shows', 'Crime', 'Docuseries']",1 Season,,United Kingdom,TV-14,,,,Netflix
5563,Glitter Force,TV Show,,"['Laura Bailey', 'Kate Higgins', 'Alex Cazares', ""Colleen O'Shaughnessey"", 'Danielle Nicole', 'Debi Derryberry', 'Mary Elizabeth McGlynn', 'Patrick Seitz', 'Keith Silverstein']",2016,"['Anime Series', 'Kids TV']",2,,Japan,TV-Y7,,,,Netflix
5564,Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...,Movie,Jay Karas,"['Jeff Foxworthy', 'Larry the Cable Guy']",2016,Stand-Up Comedy,75,,United States,TV-14,,,,Netflix
5565,XOXO,Movie,Christopher Louie,"['Sarah Hyland', 'Graham Phillips', 'Brett DelBuono']",26 Aug 2016,"['Drama', 'Music']",92,English,United States,TV-MA,5.3,71.0,,Netflix
5566,I'll Sleep When I'm Dead,Movie,Mike Hodges,"['Clive Owen', 'Malcolm McDowell', 'Jonathan Rhys Meyers']",30 Apr 2004,"['Crime', 'Drama', 'Mystery']",103,English,"['United Kingdom', 'United States']",R,5.8,44.0,56.0,Netflix
5567,Behind Enemy Lines,Movie,John Moore,"['Gene Hackman', 'Owen Wilson', 'Gabriel Macht']",30 Nov 2001,"['Action', 'Drama', 'Thriller']",106,"['English', 'Serbo-Croatian', 'Spanish', 'Czech']",United States,PG-13,6.4,37.0,49.0,Netflix
5568,Caught on Camera,TV Show,,"['Contessa Brewer', 'Alfredo Morales', 'Charmaine Rodriguez']",01 Dec 2010,"['Documentary', 'News']",2,English,United States,TV-14,6.5,,,Netflix
5569,Louis C.K.: Live at the Comedy Store,Movie,Louis C.K.,"['Louis C.K.', 'Jay London']",27 Jan 2015,Comedy,66,English,United States,,7.9,,,Netflix
5570,Jim Gaffigan: Beyond the Pale,Movie,Michael Drumm,"['Jim Gaffigan', 'Jeannie Gaffigan']",29 Jan 2006,Comedy,72,English,United States,TV-14,7.9,,,Netflix
5571,Jim Gaffigan: King Baby,Movie,Troy Miller,Jim Gaffigan,29 Mar 2009,Comedy,60,English,United States,TV-PG,7.8,,,Netflix
5572,Jim Gaffigan: Mr. Universe,Movie,Jay Karas,Jim Gaffigan,11 Apr 2012,"['Documentary', 'Comedy']",78,English,USA,Unrated,7.8,,,Netflix
5573,Jim Gaffigan: Obsessed,Movie,Jay Chapman,Jim Gaffigan,27 Apr 2014,"['Documentary', 'Comedy']",60,English,United States,TV-14,7.6,100.0,,Netflix
5574,David Cross: Making America Great Again,Movie,Alex Coletti,David Cross,05 Aug 2016,Comedy,74,English,United States,,6.5,71.0,,Netflix
5575,Lavell Crawford: Can a Brother Get Some Love,Movie,Michael Drumm,"['Lavell Crawford', 'Kareem Taylor']",12 Aug 2011,"['Documentary', 'Comedy']",81,English,United States,Not Rated,7.0,,,Netflix
5576,Children of God,Movie,Kareem Mortimer,"['Johnny Ferro', 'Stephen Tyrone Williams', 'Margaret Laurena Kemp']",20 May 2011,Drama,104,English,Bahamas,Not Rated,6.7,,,Netflix
5577,Edge of the Universe,TV Show,,"['John Hurt', 'Steven Ostro', 'Riccardo Scarpa']",06 Jan 2002,Documentary,1,English,United Kingdom,,7.3,,,Netflix
5578,Interview with a Serial Killer,Movie,Christopher Martin,"['Augustine Capone', 'Maggie Deming', 'Paul Dierdorf', 'Lynde Johnston']",,"['Documentary', 'Crime']",44,English,USA,PG-13,5.9,,,Netflix
5579,La esclava blanca,Movie,Jesús Franco,"['Yvonne Manuel', 'Mabel Escaño', 'José Miguel García']",,"['Horror', 'Thriller']",87,Spanish,Spain,,4.8,,,Netflix
5580,Real Crime: Diamond Geezers,Movie,Tom Whitter,Forbes KB,2008,Documentaries,46,,United Kingdom,TV-14,,,,Netflix
5581,Lego Bionicle: The Journey to One,TV Show,,"['William Jordan', 'Michael Strickland', 'Nolan Balzer']",04 Mar 2016,"['Animation', 'Action', 'Adventure']",2,English,United States,,5.4,,,Netflix
5582,Tallulah,Movie,Sian Heder,"['Elliot Page', 'Allison Janney', 'Tammy Blanchard']",29 Jul 2016,"['Comedy', 'Drama', 'Romance']",111,English,United States,,6.7,85.0,63.0,Netflix
5583,Popples,TV Show,,"['Stevie Vallance', 'Len Carlson', 'Diane Fabian']",06 Sep 1986,"['Animation', 'Comedy', 'Family']",2,"['English', 'French', 'Japanese']","['United States', 'France', 'Japan']",TV-Y,6.5,,,Netflix
5584,Rebirth,Movie,Karl Mueller,"['Fran Kranz', 'Adam Goldberg', 'Nicky Whelan']",15 Jul 2016,Thriller,100,"['English', 'French']",United States,TV-MA,5.0,43.0,,Netflix
5585,Tony Robbins: I Am Not Your Guru,Movie,Joe Berlinger,"['Sage Bonnie Humphrey', 'Steven Kronick', 'Anthony Robbins']",15 Jul 2016,Documentary,115,English,United States,Not Rated,6.7,45.0,51.0,Netflix
5586,Gridlocked,Movie,Allan Ungar,"['Dominic Purcell', 'Cody Hackman', 'Saul Rubinek']",14 Jun 2016,Action,110,English,Canada,R,5.9,60.0,,Netflix
5587,Brahman Naman,Movie,Qaushiq Mukherjee,"['Shashank Arora', 'Tanmay Dhanania', 'Chaitanya Varad']",07 Jul 2016,Comedy,95,English,"['India', 'United Kingdom']",,5.6,75.0,58.0,Netflix
5588,Kuromukuro,TV Show,,"['Johnny Yong Bosch', 'Todd Haberkorn', 'Keith Silverstein']",04 Jul 2016,"['Animation', 'Action', 'Sci-Fi']",2,Japanese,Japan,TV-14,7.2,,,Netflix
5589,Jim Jefferies: Freedumb,Movie,Ryan Polito,Jim Jefferies,01 Jul 2016,Comedy,86,English,United States,TV-MA,7.7,,,Netflix
5590,Marco Polo,TV Show,,"['Lorenzo Richelmy', 'Benedict Wong', 'Joan Chen']",12 Dec 2014,"['Action', 'Adventure', 'Drama']",2,"['English', 'Cantonese', 'Mandarin', 'Mongolian', 'Persian', 'Italian', 'Uighur', 'Arabic']",United States,TV-MA,8.0,,,Netflix
5591,X: Past Is Present,Movie,"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath","['Rajat Kapoor', 'Radhika Apte', 'Bidita Bag']",20 Nov 2015,"['Drama', 'Mystery', 'Romance']",105,"['Hindi', 'English', 'Bengali', 'Tamil']",India,,5.2,,,Netflix
5592,Sofía Niño de Rivera: Exposed,Movie,"Raúl Campos, Jan Suter",Sofía Niño de Rivera,2016,Stand-Up Comedy,80,,Mexico,TV-MA,,,,Netflix
5593,The Fundamentals of Caring,Movie,Rob Burnett,"['Craig Roberts', 'Paul Rudd', 'Selena Gomez']",24 Jun 2016,"['Comedy', 'Drama']",97,English,United States,TV-MA,7.3,77.0,55.0,Netflix
5594,Ip Man 3,Movie,Wilson Yip,"['Donnie Yen', 'Lynn Xiong', 'Jin Zhang']",24 Dec 2015,"['Action', 'Biography', 'Drama']",105,"['Cantonese', 'English']","['China', 'Hong Kong']",PG-13,7.1,76.0,57.0,Netflix
5595,Bo Burnham: Make Happy,Movie,"Bo Burnham, Christopher Storer",Bo Burnham,03 Jun 2016,"['Comedy', 'Music']",60,English,United States,TV-MA,8.4,100.0,,Netflix
5596,Hibana: Spark,TV Show,,"['Kento Hayashi', 'Kazuki Namioka', 'Mugi Kadowaki', 'Masao Yoshii', 'Hideaki Murata', 'Nahana', 'Sayaka Yamamoto', 'Shota Sometani', 'Tomorowo Taguchi', 'Kaoru Kobayashi']",2016,"['International TV Shows', 'TV Dramas']",1 Season,,Japan,TV-MA,,,,Netflix
5597,72 Cutest Animals,TV Show,,"['Graham Mitchell', 'Bob Humphries', 'Kym Illman']",01 Jun 2016,Documentary,1,"['English', 'German', 'Italian', 'French', 'Spanish']",Australia,,5.8,,,Netflix
5598,72 Dangerous Places to Live,TV Show,,"['Mitch Ryan', 'Alessandro Bianchi', 'George Kourounis']",21 Mar 2016,Documentary,1,English,Australia,,6.2,,,Netflix
5599,The Do-Over,Movie,Steven Brill,"['Adam Sandler', 'David Spade', 'Paula Patton']",27 May 2016,"['Action', 'Adventure', 'Comedy']",108,English,United States,TV-MA,5.7,9.0,22.0,Netflix
5600,Ali Wong: Baby Cobra,Movie,Jay Karas,Ali Wong,05 May 2016,Comedy,60,English,United States,TV-MA,7.5,100.0,,Netflix
5601,Special Correspondents,Movie,Ricky Gervais,"['Ricky Gervais', 'Eric Bana', 'Vera Farmiga']",29 Apr 2016,Comedy,101,"['English', 'Spanish']","['Canada', 'United Kingdom', 'United States']",TV-MA,5.9,16.0,36.0,Netflix
5602,Team Foxcatcher,Movie,Jon Greenhalgh,"['Dan Chaid', 'John du Pont', 'Dave Schultz']",29 Apr 2016,"['Documentary', 'Biography', 'Crime']",90,English,United States,TV-14,7.3,100.0,,Netflix
5603,Patton Oswalt: Talking for Clapping,Movie,,"['Patton Oswalt', 'Boots Riley']",22 Apr 2016,"['Documentary', 'Comedy']",65,English,United States,TV-MA,6.8,86.0,,Netflix
5604,Belgica,Movie,Felix van Groeningen,"['Stef Aerts', 'Tom Vermeir', 'Stefaan De Winter']",02 Mar 2016,Drama,127,"['Flemish', 'Dutch']","['Belgium', 'France', 'Netherlands']",,6.7,53.0,63.0,Netflix
5605,Hush,Movie,Mike Flanagan,"['John Gallagher Jr.', 'Kate Siegel', 'Michael Trucco']",08 Apr 2016,"['Horror', 'Thriller']",82,"['English', 'American Sign ']",United States,R,6.6,93.0,67.0,Netflix
5606,Cyborg 009 vs Devilman,TV Show,Jun Kawagoe,"['Bryce Papenbrook', 'Johnny Yong Bosch', 'Christine Marie Cabanos']",11 Nov 2015,"['Animation', 'Action', 'Sci-Fi']",1,Japanese,"['Japan', 'United States']",TV-14,6.0,,,Netflix
5607,Frank and Cindy,Movie,G.J. Echternkamp,"['Rene Russo', 'Oliver Platt', 'Johnny Simmons']",01 Apr 2016,Comedy,102,English,United States,R,6.1,,,Netflix
5608,Justin Time,TV Show,,"['Jenna Warren', 'Scott McCord', 'Gage Munroe']",01 Jun 2011,"['Animation', 'Adventure', 'Family']",3,"['English', 'French']",Canada,TV-Y,6.7,,,Netflix
5609,Terrace House: Boys & Girls in the City,TV Show,,"['You', 'Reina Triendl', 'Ryota Yamasato', 'Yoshimi Tokui', 'Azusa Babazono', 'Ayumu Mochizuki', 'Kentaro']",2016,"['International TV Shows', 'Reality TV']",2,,Japan,TV-14,,,,Netflix
5610,Kung Fu Panda: Secrets of the Scroll,Movie,Rodolphe Guenoden,"['Jack Black', 'Eliott Guenoden', 'James Hong']",05 Jan 2016,"['Animation', 'Short', 'Action']",23,English,United States,TV-Y7,7.1,,,Netflix
5611,He Never Died,Movie,Jason Krawczyk,"['Henry Rollins', 'Booboo Stewart', 'Kate Greenhouse']",18 Dec 2015,"['Comedy', 'Drama', 'Fantasy']",99,English,Canada,R,6.4,88.0,72.0,Netflix
5612,Jimmy Carr: Funny Business,Movie,Sam Wrench,Jimmy Carr,18 Mar 2016,Comedy,62,English,UK,Not Rated,7.2,,,Netflix
5613,My Beautiful Broken Brain,Movie,"Sophie Robinson, Lotje Sodderland","['David Lynch', 'Sophie Robinson', 'Hente Sodderland']",18 Mar 2016,"['Documentary', 'Biography']",86,English,United Kingdom,TV-14,7.1,,,Netflix
5614,Pee-wee's Big Holiday,Movie,John Lee,"['Paul Reubens', 'Jordan Black', 'Doug Cox']",18 Mar 2016,"['Comedy', 'Family']",90,"['English', 'Spanish']",United States,TV-PG,6.1,,63.0,Netflix
5615,Netflix Presents: The Characters,TV Show,,"['Lauren Lapkus', 'John Early', 'Henry Zebrowski', 'Kate Berlant', 'Natasha Rothwell', 'Paul W. Downs', 'Tim Robinson', 'Dr. Brown']",2016,TV Comedy,1 Season,,United States,TV-MA,,,,Netflix
5616,Your Lie in April,TV Show,,"['Natsuki Hanae', 'Risa Taneda', 'Ayane Sakura']",01 Mar 2019,"['Animation', 'Drama', 'Music']",1,Japanese,Japan,TV-PG,8.5,,,Netflix
5617,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Movie,Woo-Ping Yuen,"['Donnie Yen', 'Michelle Yeoh', 'Harry Shum Jr.']",26 Feb 2016,"['Action', 'Adventure', 'Drama']",96,English,"['China', 'United States']",PG-13,6.1,20.0,47.0,Netflix
5618,Marvel Super Hero Adventures: Frost Fight!,Movie,"Eric Radomski, Mitch Schauer","['Mick Wingert', 'Matthew Mercer', 'Travis Willingham', 'Fred Tatasciore']",11 Dec 2015,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",73,English,USA,PG,5.2,,,Netflix
5619,Cooked,TV Show,,"['Michael Pollan', 'Isaac Pollan']",19 Feb 2016,Documentary,1,English,United States,,8.1,,,Netflix
5620,Care Bears & Cousins,TV Show,,"['Michael Sinterniklaas', 'Michaela Dean', 'Doug Erholtz', 'Braeden Fox', 'Olivia Hack', 'David Lodge', 'Nayo Wallace', 'Ryan Wiesbrock']",2016,Kids' TV,2,,United States,TV-Y,,,,Netflix
5621,Hannibal Buress: Comedy Camisado,Movie,Lance Bangs,"['Hannibal Buress', 'Al Jackson', 'Dan Steinhaus']",05 Feb 2016,Comedy,83,English,United States,TV-MA,6.6,100.0,,Netflix
5622,Turbo FAST,TV Show,,"['Reid Scott', 'Mike Bell', 'John Eric Bentley']",24 Dec 2013,"['Animation', 'Action', 'Adventure']",3,English,United States,TV-Y7,6.4,,,Netflix
5623,Chelsea Does,TV Show,,"['Chelsea Handler', 'Steven David', 'Mary McCormack']",23 Jan 2016,Documentary,1,English,United States,TV-MA,7.2,,,Netflix
5624,Ricardo O'Farrill: Abrazo genial,Movie,"Jan Suter, Raúl Campos",Ricardo O'Farrill,23 Jan 2016,Comedy,,Spanish,Mexico,TV-MA,5.5,,,Netflix
5625,Ip Man,Movie,Wilson Yip,"['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan']",12 Dec 2008,"['Action', 'Biography', 'Drama']",106,"['Cantonese', 'Mandarin', 'Japanese']","['Hong Kong', 'China']",R,8.0,86.0,59.0,Netflix
5626,Ip Man 2,Movie,Wilson Yip,"['Donnie Yen', 'Xiaoming Huang', 'Sammo Kam-Bo Hung']",29 Apr 2010,"['Action', 'Biography', 'Drama']",108,"['Cantonese', 'Chinese', 'English']","['Hong Kong', 'China']",R,7.5,97.0,67.0,Netflix
5627,Tom Segura: Mostly Stories,Movie,"Jay Karas, Rami Hachache","['Gabriel G. Alvarez', 'I. Elijah Baughman', 'Brandon Brown']",08 Jan 2016,Comedy,73,English,United States,TV-MA,7.6,,,Netflix
5628,Marco Polo: One Hundred Eyes,Movie,Alik Sakharov,"['Benedict Wong', 'Tom Wu', 'Lorenzo Richelmy', 'Olivia Cheng']",26 Dec 2015,"['Action', 'Drama', 'History']",28,English,USA,,7.8,,,Netflix
5629,Sammy & Co,TV Show,,,20 Jul 2014,Animation,2,French,France,,5.1,,,Netflix
5630,Mike Epps: Don't Take It Personal,Movie,L. Frazier,Mike Epps,18 Dec 2015,Comedy,59,English,United States,TV-MA,4.5,,,Netflix
5631,The Ridiculous 6,Movie,Frank Coraci,"['Adam Sandler', 'Terry Crews', 'Jorge Garcia']",11 Dec 2015,"['Action', 'Adventure', 'Comedy']",119,English,United States,TV-14,4.8,0.0,18.0,Netflix
5632,"Trailer Park Boys: Drunk, High and Unemployed: Live in Austin",Movie,"Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","['Mike Smith', 'John Paul Tremblay', 'Robb Wells', 'John Dunsworth', 'Pat Roach', 'Tom Green', 'Verne Troyer', 'Jonathan Torrens']",2015,"['Comedy', 'International Movies']",74,,Canada,TV-MA,,,,Netflix
5633,A Very Murray Christmas,Movie,Sofia Coppola,"['Bill Murray', 'Paul Shaffer', 'Michael Cera']",04 Dec 2015,"['Comedy', 'Music', 'Musical']",56,English,United States,TV-MA,5.5,68.0,,Netflix
5634,Atelier,Movie,Elsa Maria Jakobsdóttir,"['Rosalinde Mynster', 'Anna Rothlin', 'Oscar Töringe']",19 Jun 2017,"['Short', 'Drama', 'Mystery']",30,"['English', 'Danish', 'Swedish']",Denmark,,6.2,,,Netflix
5635,Naomi and Ely's No Kiss List,Movie,Kristin Hanggi,"['Victoria Justice', 'Pierson Fode', 'Matthew Daddario']",18 Sep 2015,"['Comedy', 'Drama', 'Romance']",89,"['English', 'Spanish']",United States,Not Rated,5.5,,,Netflix
5636,John Mulaney: The Comeback Kid,Movie,Rhys Thomas,"['Petunia', 'John Mulaney', 'Amanda Walsh']",13 Nov 2015,Comedy,62,English,United States,TV-MA,8.0,100.0,,Netflix
5637,W/ Bob & David,TV Show,,"['David Cross', 'Bob Odenkirk', 'John Ennis', 'Jay Johnston', 'Brian Posehn', 'Jill Talley', 'Paul F. Tompkins', 'Tom Kenny', 'Brett Paesel']",2015,TV Comedy,1 Season,,United States,TV-MA,,,,Netflix
5638,Manson Family Vacation,Movie,J. Davis,"['Jay Duplass', 'Linas Phillips', 'Leonora Pitts']",06 Oct 2015,"['Comedy', 'Drama', 'Thriller']",84,English,United States,Not Rated,5.8,93.0,,Netflix
5639,Walt Disney Animation Studios Short Films Collection,Movie,"Roger Allers, Mark Henn, Lauren MacMullan","['Paul Briggs', 'Alan Dale', 'Bill Farmer', 'Jack Goldenberg']",18 Aug 2015,"['Animation', 'Adventure', 'Comedy', 'Family']",89,English,USA,G,7.7,,,Netflix
5640,Hemlock Grove,TV Show,,"['Famke Janssen', 'Bill Skarsgård', 'Landon Liboiron']",19 Apr 2013,"['Drama', 'Fantasy', 'Horror']",3,English,United States,TV-MA,7.1,,,Netflix
5641,Results,Movie,Andrew Bujalski,"['Guy Pearce', 'Cobie Smulders', 'Kevin Corrigan']",29 May 2015,"['Comedy', 'Romance']",105,"['English', 'Japanese']",United States,R,5.4,85.0,73.0,Netflix
5642,Anthony Jeselnik: Thoughts and Prayers,Movie,Adam Dubin,"['Anthony Jeselnik', 'Peggy']",16 Oct 2015,Comedy,59,English,USA,TV-MA,7.8,100.0,,Netflix
5643,Beasts of No Nation,Movie,Cary Joji Fukunaga,"['Abraham Attah', 'Emmanuel Affadzi', 'Ricky Adelayitor']",16 Oct 2015,"['Drama', 'War']",137,"['English', 'Akan']",United States,TV-MA,7.7,92.0,79.0,Netflix
5644,Circle,Movie,"Aaron Hann, Mario Miscione","['Allegra Masters', 'Aimee McKay', 'Ashley Key']",16 Oct 2015,"['Drama', 'Horror', 'Mystery']",87,English,United States,Not Rated,6.0,57.0,,Netflix
5645,Winter on Fire: Ukraine's Fight for Freedom,Movie,Evgeny Afineevsky,"['Bishop Agapit', 'Catherine Ashton', 'Serhii Averchenko']",09 Oct 2015,Documentary,102,"['Ukrainian', 'Russian', 'English']","['United Kingdom', 'Ukraine', 'United States']",Not Rated,8.4,88.0,79.0,Netflix
5646,Anjelah Johnson: Not Fancy,Movie,Jay Karas,Anjelah Johnson-Reyes,01 Oct 2015,"['Documentary', 'Comedy']",90,"['Spanish', 'English']",United States,Not Rated,5.9,,,Netflix
5647,Keith Richards: Under the Influence,Movie,Morgan Neville,"['Keith Richards', 'Anthony DeCurtis', 'Steve Jordan']",18 Sep 2015,"['Documentary', 'Music']",81,English,United States,TV-PG,7.1,100.0,62.0,Netflix
5648,Cowspiracy: The Sustainability Secret,Movie,"Kip Andersen, Keegan Kuhn","['Bruce Hamilton', 'Kip Andersen', 'Al Gore']",15 Sep 2015,Documentary,90,English,United States,Not Rated,8.2,,,Netflix
5649,6 Years,Movie,Hannah Fidell,"['Taissa Farmiga', 'Ben Rosenfield', 'Lindsay Burdge']",18 Aug 2015,"['Drama', 'Romance']",79,English,United States,Not Rated,5.6,69.0,53.0,Netflix
5650,Demetri Martin: Live (At the Time),Movie,Jay Karas,Demetri Martin,01 Mar 2015,"['Documentary', 'Comedy']",61,English,United States,TV-MA,7.4,,,Netflix
5651,Wet Hot American Summer,Movie,David Wain,"['Janeane Garofalo', 'David Hyde Pierce', 'Michael Showalter']",31 Aug 2001,"['Comedy', 'Romance']",97,English,United States,R,6.6,38.0,42.0,Netflix
5652,Tig,Movie,"Kristina Goolsby, Ashley York","['Stephanie Allynne', 'Zach Galifianakis', 'Sarah Silverman']",17 Jul 2015,Documentary,95,English,United States,TV-14,7.4,79.0,,Netflix
5653,H2O: Mermaid Adventures,TV Show,,"['Sonja Ball', 'Holly Gauthier-Frankel', 'Thor Bishopric']",22 May 2015,"['Animation', 'Adventure', 'Comedy']",2,"['German', 'English']","['Germany', 'Australia', 'France', 'China']",TV-Y7,5.8,,,Netflix
5654,Creep,Movie,Patrick Brice,"['Patrick Brice', 'Mark Duplass']",23 Jun 2015,"['Horror', 'Thriller']",77,English,United States,R,6.4,90.0,74.0,Netflix
5655,Chris Tucker Live,Movie,Phil Joanou,Chris Tucker,10 Jul 2015,"['Documentary', 'Comedy']",92,English,United States,TV-MA,6.3,,,Netflix
5656,Ralphie May: Imperfectly Yours,Movie,Anthony Pierce,Ralphie May,23 Feb 2013,"['Documentary', 'Comedy']",,English,United States,,5.6,,,Netflix
5657,"What Happened, Miss Simone?",Movie,Liz Garbus,"['Nina Simone', 'Lisa Simone Kelly', 'Roger Nupie']",24 Jun 2015,"['Documentary', 'Biography', 'Music']",101,"['English', 'French']",United States,Not Rated,7.6,88.0,75.0,Netflix
5658,Advantageous,Movie,Jennifer Phang,"['Jacqueline Kim', 'James Urbaniak', 'Freya Adams']",23 Jun 2015,"['Drama', 'Family', 'Sci-Fi']",90,"['English', 'French']",United States,Not Rated,6.2,86.0,59.0,Netflix
5659,Danger Mouse: Classic Collection,TV Show,,"['David Jason', 'Terry Scott', 'Edward Kelsey', 'Brian Trueman']",1992,"['British TV Shows', 'Kids TV', 'TV Comedy']",10,,United Kingdom,TV-Y,,,,Netflix
5660,The Perfect Dictatorship,Movie,Luis Estrada,"['Damián Alcázar', 'Alfonso Herrera', 'Joaquín Cosio']",16 Oct 2014,"['Comedy', 'Drama']",143,Spanish,Mexico,,7.2,,,Netflix
5661,Hot Girls Wanted,Movie,"Jill Bauer, Ronna Gradus","['Tressa Silguero', 'Riley Reynolds', 'Rachel Bernard']",29 May 2015,Documentary,84,English,United States,TV-MA,6.1,82.0,,Netflix
5662,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Movie,Lance Bangs,"['Jen Kirkman', 'Kelly Patton', 'Wilder S. Patton']",22 May 2015,Comedy,78,English,United States,Not Rated,6.8,,,Netflix
5663,"The Other One: The Long, Strange Trip of Bob Weir",Movie,Mike Fleiss,"['John Perry Barlow', 'Chuck Berry', 'Neal Cassady']",22 May 2015,"['Documentary', 'Biography', 'Music']",85,English,United States,,7.3,,,Netflix
5664,Chris D'Elia: Incorrigible,Movie,Bill D'Elia,Chris D'Elia,17 Apr 2015,Comedy,83,English,United States,TV-MA,6.5,,,Netflix
5665,Oscar's Oasis,TV Show,,"['Marie Facundo', 'Sly Johnson', 'Martial Le Minoux']",04 Jul 2011,"['Animation', 'Adventure', 'Comedy']",1,English,France,,7.6,,,Netflix
5666,Aziz Ansari Live at Madison Square Garden,Movie,Aziz Ansari,Aziz Ansari,2015,Stand-Up Comedy,58,,United States,TV-MA,,,,Netflix
5667,My Own Man,Movie,David Sampliner,,31 Dec 2014,"['Documentary', 'Comedy', 'Drama']",82,English,United States,TV-14,6.3,,,Netflix
5668,Ralphie May: Unruly,Movie,John Asher,Ralphie May,27 Feb 2015,Comedy,83,English,USA,,4.8,,,Netflix
5669,Virunga: Gorillas in Peril,Movie,Lisa Kors,"[""Soledad O'Brien"", 'Jonathan Baillie', 'André Bauma', 'Mélanie Gouby']",06 Feb 2015,Documentary,28,English,USA,,6.2,,,Netflix
5670,Iliza Shlesinger: Freezing Hot,Movie,Ryan Polito,Iliza Shlesinger,23 Jan 2015,"['Documentary', 'Comedy']",71,English,United States,TV-MA,6.9,,,Netflix
5671,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Movie,,"['Will Arnett', 'Aaron Paul', 'Alison Brie', 'Adam Conover', 'Kristen Schaal', 'Fred Savage']",2014,Movies,26,,United States,TV-MA,,,,Netflix
5672,Bill Burr: I'm Sorry You Feel That Way,Movie,Jay Karas,Bill Burr,05 Dec 2014,Comedy,80,English,United States,TV-MA,8.3,100.0,,Netflix
5673,Lilyhammer,TV Show,,"['Steven Van Zandt', 'Trond Fausa', 'Steinar Sagen']",15 Sep 2014,"['Comedy', 'Crime', 'Drama']",3,"['Norwegian', 'English', 'Portuguese', 'Lithuanian', 'Nepali', 'Arabic']","['Norway', 'United States']",TV-MA,8.0,,,Netflix
5674,Goosebumps,Movie,Rob Letterman,"['Jack Black', 'Dylan Minnette', 'Odeya Rush']",16 Oct 2015,"['Adventure', 'Comedy', 'Family']",103,English,"['United States', 'Australia']",PG,6.3,78.0,60.0,Netflix
5675,Chelsea Peretti: One of the Greats,Movie,Lance Bangs,"['Chelsea Peretti', 'Brendon Walsh', 'John Howard Swain']",13 Jun 2014,Comedy,74,English,United States,,6.9,100.0,,Netflix
5676,Virunga,Movie,Orlando von Einsiedel,"['André Bauma', 'Emmanuel de Merode', 'Mélanie Gouby']",07 Nov 2014,"['Documentary', 'War']",100,"['English', 'French', 'Swahili']","['United Kingdom', 'The Democratic Republic of Congo']",Not Rated,8.2,100.0,95.0,Netflix
